第,h
沿海,n
所做所为,i
看穿,v
叶,nhf
聂荣臻,nh
写下,v
诗词,n
春风,n
雄心,n
壮志,n
亿万人民,n
摸底,v
讲明,v
能上能下,i
桥头堡,n
阿拉伯半岛,ns
进击,v
来源,n
富饶,a
连接,v
大西洋,ns
生命线,n
要冲,n
用水量,n
６００,m
５２０,m
节水,v
空间,n
警觉,v
信仰,n
蹩脚,a
难为,v
好学,v
追回,v
岁月,nt
学业,n
大考,n
小考,n
小孩子,n
踩空,v
肋骨,n
床栏,n
全身,n
蹲坐,v
顿时,d
斑斑,a
血痕,n
忍住,v
疼痛,v
装做,v
无所谓,v
好笑,a
有点,d
两肋插刀,i
江湖,n
义气,n
视,v
机遇,n
难关,n
刹住,v
滑坡,v
精神状态,n
天钢,ni
铸,v
针,n
棉,n
针织厂,n
针织,v
２２０,m
购买,v
４４０,m
汗衫,n
背心,n
市人大,j
废旧,a
变废为宝,i
全市,ns
燃料,n
顾全大局,i
大局,n
铲除,v
蛀虫,n
祸患,n
保障,v
罪行,n
愤恨,v
见义勇为,i
积极分子,n
研,v
征集,v
编写,v
展销会,n
灵活,a
轻工,j
顺序,n
汇总,v
人口普查,v
编码,n
数据库,n
解愁,v
百废待兴,i
增发,v
同行,n
生产线,n
代购,v
为名,v
闸北区红锋五金交电商店,ni
丁伟,nh
多元,n
一九七四,m
镜子,n
小火,n
台灯,n
公安人员,n
责令,v
退还,v
骗,v
公职,n
停发,v
附加,v
调离,v
北站日夜食品商店,ni
制订,v
店规,n
售价,n
九百三十,m
售,v
出版工作者,n
章程,n
马飞海,nh
宋原放,nh
五十四,m
理事,n
阿姆斯特丹,ns
机上,nl
３４０,m
注册,v
资本金,n
证券,n
股东,n
４８,m
共青团,j
增补,v
袁纯清,nh
共青团中央,ni
书记处,n
投票,v
率,k
７２,m
０２,m
得票,v
６１,m
６７,m
湖州市德清县,ns
通电,v
百分,n
九十八,m
七百四十三,m
千瓦时,q
年均,v
一百七十五,m
邱洁明,nh
夺走,v
４２,m
上海力达队,ni
接力,v
袖珍,a
大力士,n
邓亚萍,nh
乔红,nh
玄静,nh
洪次玉,nh
胜者,n
世界拳协和国际拳协,ni
双料,n
神圣,a
权利,n
荟萃,v
嘉宾,n
满堂,n
欢乐,a
荣幸,a
全国人大常委会,ni
严惩,v
贾亦斌,nh
王匡,nh
组长,n
牢固,a
八十,m
民主党派,n
无党派,v
民主人士,n
人民团体,n
宗教界,n
爱国人士,n
大团结,n
大业,n
开好,v
组委会,j
纪念章,n
会徽,n
拎包,n
运动衫,n
旅行,v
争购,v
西路,nl
宣传牌,n
套,q
引路,v
分送,v
环卫,j
净化,v
市容,n
旁的,n
四平路,ns
两旁,nl
一串红,n
柳杉,n
棕榈,n
五角场,ns
环岛,n
树起,v
共有,v
花卉,n
塔,n
绿地,n
增光添彩,i
上海县七宝镇南街,ns
妇代会,j
金雪蕉,nh
五好,j
喜讯,n
传来,v
全家,n
四十九,m
奖状,n
见到,v
喜悦,a
影院,n
掌声,n
上海市电影局,ni
洪林,nh
朝鲜电影代表团,ni
鲜血,n
凝成,v
纳布卢斯,nh
封锁,v
巴勒斯坦,ns
难民营,n
周围,nd
宵禁,v
服务行业,n
下一步,n
升级,v
白炽,a
有意,d
回扣,n
好处费,n
假冒,v
伪,a
行贿,v
受贿,v
直至,v
追究,v
刑事责任,n
基层干部,n
廉政,v
勤政,v
实实在在,a
着想,v
激励,v
建功立业,i
进取,v
绒衫,n
认定,v
信得过,v
博览会,n
金奖,n
鄞县,ns
选定,v
手续,n
承揽,v
期,nt
六十万,m
千瓦,q
容量,n
二百四十万,m
浙江奉化,ns
水蜜桃,n
总产量,n
十八万,m
玉露,n
十万,m
深切,a
悼念,v
赞颂,v
鞠躬尽瘁,i
后人,n
无价,v
瑰宝,n
亿万,m
受用,a
永,d
耀目,a
光芒,n
倪,nhf
痛失,v
悔,v
力挫,v
争夺战,n
铜牌,n
凶多吉少,i
诸将,n
扳,v
海河,ns
射击,v
安徽,ns
许海峰,nh
河南,ns
李金豹,nh
苏之勃,nh
自选,v
宁夏,ns
祁春霞,nh
文芝芳,nh
常丽娟,nh
小口径,n
浙江,ns
吴小璇,nh
李丹,nh
张秋萍,nh
七千,m
军警,n
戒备,v
主张,v
任职,v
改观,v
蓄意,v
埃塞俄比亚,ns
内向,a
苏古,j
诸,r
紧缺,a
民众,n
必由之路,i
百货,n
香皂,n
３７００,m
货源,n
７００,m
年产量,n
害群之马,i
落入,v
法网,n
原定,v
产值,n
四十三,m
五十六,m
五十三,m
比例,n
计算,v
节电,v
节煤,v
节油,v
二千七百五十万,m
钢材,n
线材,n
薄板,n
焊,v
四十一,m
收音机,n
纱布,n
呢绒,n
死去,v
在此之前,nt
黎巴嫩,ns
分队,n
巴勒斯坦人,n
栖身,v
控制区,n
无人区,n
命令,v
返回,v
泳将,n
收,v
力达队,ni
参赛队,n
之首,nd
服务业,n
慈溪锦纶总公司,ni
浙江省慈溪市锦纶总公司,ni
二点一亿,ni
一百零一点九一,m
浸,v
胶,n
胎,n
九十九,m
一等,a
品,n
九十六点三九,m
畅销,v
远销,v
泰国,ns
团中央,j
全国青联,j
洛桑,nh
风飞飞,nh
女士,n
赵宏琦,nh
慷慨,a
东海,ns
川沙县,ns
素有,v
家养,v
大牲畜,n
不敢,vu
扶持,v
三百,m
重操旧业,v
手工业,n
门锁,n
缝衣,v
煤油炉,n
玩具,n
塑料,n
日用品,n
拉链,n
指甲,n
钳,n
布鞋,n
灯泡,n
铁锅,n
内销,v
四十八万,m
瑰丽,a
采,n
专售,v
金光衣片商店,ni
店堂,n
堆满,v
匹,q
高档,a
衣料,n
喧宾夺主,i
确是,vl
今春,nt
夏初,nt
预防,v
接种,v
疖,n
病菌,n
苗,n
用武之地,n
审批,v
会员,n
猛增,v
为数众多,i
爱好者,n
理事长,n
曾性初,nh
仪仗,n
古朴,a
服饰,n
绚丽,a
音乐,n
动听,a
难怪,d
唐明皇,nh
喜爱,v
昆曲,n
相通,v
唱戏,v
讲究,v
穿耳,v
对象,n
最多,a
一九八零,m
二十四点六,m
六十四点五万,m
在校,v
一百五十三点七万,m
六五,j
学龄儿童,n
入学率,n
九十三,m
九十五点三,m
成人高校,n
毕业生,n
十六点四万,m
高校,j
五十七点一,m
高等学校,n
本科,n
肄业,v
二十六点九,m
中专,j
高中,j
小学,n
五十一点八,m
五十八点五,m
跑出,v
三二,m
三四,m
配上,v
附件,n
样品,n
元素,n
成分,n
经济新闻,ni
平均,a
妥当,a
文溯阁,ns
存放,v
四库,n
全书,n
不料,v
旧事,n
忘怀,v
波兰,ns
五十万,m
园地,n
华沙,ns
十二万,m
动脑筋,v
搞出,v
名堂,n
乐趣,n
西红柿,n
黄瓜,n
白菜,n
胡罗卜,n
之类,n
滋味,n
亲手,d
栽培,v
鲜花,n
幽香,n
联合会,n
牲口,n
中断,v
一年一度,i
清香,n
甘醇,a
遐迩闻名,i
二百五十,m
升,q
数字,n
名列,v
冠,n
星期日,nt
那天,r
灯光,n
熄灭,v
六百万,m
喝掉,v
四百五十万,m
烤鸡,n
炸,v
炸鱼,v
七十万,m
香肠,n
免得,c
受制于人,i
规模,n
棉花,n
硬功夫,n
贸工农,j
商品经济,n
铁,n
门槛,n
下车,v
枉,v
颠簸,v
步行,v
迈出,v
迈入,v
留神,v
羁绊,n
不仅如此,i
冷遇,n
久而久之,i
麻木,a
绝对真理,i
长河,n
相对真理,i
加进,v
水珠,n
相对,d
日耳曼,ns
族,n
兰克人,nh
称之为,v
卢泽,nh
尔堡,ns
德语,n
意为,vl
城堡,n
公元,nt
九六三,m
阿登,nh
伯爵,n
弟,n
西热弗鲁克,nh
阿尔泽特,ns
河畔,nl
古罗马,ns
大道,n
选中,v
峻峭,a
构成,v
修筑,v
现有,v
一百五十三亿五千万,m
三十九点二,m
递增,v
八点六,m
冻结,v
批条,n
分房,v
常委会,j
文化馆,n
占领,v
经营性亏损,n
狠刹,v
开后门,i
救,v
编后,nt
认帐,v
难能可贵,i
邻里,n
上钢三厂,ni
上三牌,ni
钢筋,n
国产,a
螺纹,n
江桥公社,ns
嘉定县江桥公社,ns
饲养量,n
一万八千八百八十一,m
市郊,n
羊皮,n
人民牌,ni
显象管,n
累计,v
一百二十万,m
收益,v
还清,v
一九五二,m
安徽淮南电厂,ni
传授,v
田家庵,ns
蚌埠,ns
高压,n
输电,v
铁塔,n
喷,v
锌,n
防腐,v
隔,v
油漆,n
保养,v
无需,d
店里,nl
新风,n
榜,n
表扬,v
上游,n
前天,nt
殴斗,v
上前,v
捉拿,v
凶手,n
夺路,v
逃,v
朱驹平,nh
审稿,v
电气,n
自动化,v
不实,a
更正,v
失实,v
党报,n
珍珠霜,n
大同小异,i
长宁区工业公司,ni
经理部,n
河南禹县,ns
宋代,nt
瓷,n
钧瓷,n
中山公园二馆卖品部,ni
挂牌,v
置身,v
借,v
谋取,v
私利,n
求新,v
造船厂,n
徐德华,nh
无证,v
驾驶,v
逃避,v
仓惶,a
撞伤,v
行人,n
公安部门,n
行政拘留,v
罚款,v
赔偿,v
伤害,v
春夏,nt
夏秋,nt
塌,v
房,n
伤人,v
务必,d
弄清,v
救灾,v
抢险,v
１３０,m
散居,v
凌晨,nt
顶风,v
冒雨,v
一身,n
泥浆,n
奔到,v
指挥部,n
待命,v
曰,v
研究会,n
艺,n
雨后春笋,i
太多,a
杂,a
自知之明,i
不争,v
甘愿,vu
整天价,nt
正儿八经,i
何必,d
硬撑,v
多多益善,i
西厢记,n
张生,nh
跳过,v
堵,q
粉墙,n
不可逾越,i
封建礼教,n
习俗,n
诸多,a
道德规范,n
议,n
吴,nhf
老太爷,n
太上感应篇,n
婚姻法,n
较之,v
和钟雨,nh
情,n
礼,n
寄,v
飘渺,a
虚无,n
天国,n
北极光,n
芩芩,nh
付诸,v
韩素音,nh
章,n
死,v
南齐,nt
诗人,n
谢朓,nh
咏,v
蒲,n
精炼,v
描摹,v
菖蒲,n
特征,n
水生植物,n
和风,n
吹拂,v
茎叶,n
结,v
长出,v
嫩,a
成熟,a
结有,v
呈,v
红色,n
椒,n
茎,n
表皮,n
黄褐色,n
深秋,nt
枯萎,a
割,v
炊,n
黄金,n
躯,n
不免,v
化为灰烬,i
形似,v
剑,n
故,c
蒲剑,n
这天,r
泛,v
酒中,nl
酒,n
疫病,n
大好,a
纪委,j
常务,a
韩光,nh
一九八七,m
纪检,j
肌体,n
表率,n
严于律己,i
党组织,n
逐级,d
一级,mq
调,v
特困,a
二万,m
市府,j
实事,n
重要性,n
提到,v
议事日程,n
丹东,ns
吉林,ns
呼和浩特,ns
包头,ns
权威,n
购买力,n
二百零六,m
集市,n
三亿五千,m
侨联,j
会址,n
欢度,v
最前列,n
截止,v
九万一千,m
行车,v
北京铁路局,ni
辖,v
称赞,v
文化站,n
浇,v
相比之下,i
缉私,v
大行,v
走私,v
徒,n
何等,r
渺小,a
体会,v
字,n
感激,v
倾吐,v
音,n
订阅,v
供销合作社,n
五百零六,m
二百零四,m
药费,n
一百一十六万,m
运输队,n
税金,n
灯具,n
九万,m
税利,n
六万九千,m
三十一点九,m
建房,v
公开信,n
精力,n
歪风,n
自查,v
地市级,n
省直,j
厅局级,n
二百六十二,m
十九点三,m
占房,v
五百七十四,m
县级,n
一千五百一十六,m
十一点九,m
三百一十九,m
六百三十六,m
七百七十一,m
缴,v
高价,n
房租,n
批转,v
省纪委,j
适时,a
是非,n
实事求是,i
发往,v
武钢,j
６１０,m
轧辊,n
九十七点六,m
寿命,n
抗,v
均未,d
津门,ns
滕新宇,nh
马槟,nh
刘书志,nh
刘振刚,nh
强手,n
女将,n
提名,v
铁饼,n
名次,n
旧貌,n
游乐园,n
独有,v
泥塑,n
实景,n
音响,n
偏爱,v
１９７１,m
考入,v
天津美术学院,ni
南郊,nl
拥趸,v
轮到,v
地主,n
悲鸣,v
飞走,v
枯竭,a
是的,u
此时,nt
冷漠,a
淡化,v
王铁人,nh
复活,v
书店,n
雷锋精神,n
社会风气,n
折射,v
他俩,r
架起,v
桥梁,n
安置,v
繁重,a
横向联合,i
入室,v
公案,n
路达,nh
冯东生,nh
罗云,nh
老同志,n
宿舍,n
装,v
风扇,n
元月,nt
一百九十万,m
杨爱华,nh
上海凤翎队,ni
捐钱,v
捐物,v
真本事,n
老婆婆,n
小朋友,n
旁听,v
牛脾气,n
住处,n
通风,v
向阳,v
吃食,v
得当,a
东家,n
照料,v
牵出,v
牛棚,n
散散心,v
刷,v
干干净净,a
问起,v
翘起,v
大拇指,n
没说的,i
裁剪,v
手工,n
操作,v
电动,a
不单,d
何况,c
购销,n
逐渐,d
充沛,a
薄利多销,i
弃,v
不利,a
投保,v
每人,n
年限,n
每种,r
社会心理学,n
告罄,v
学派,n
专著,n
华东师大,j
上师大,j
交大,j
一医,j
二医,j
院校,n
心理咨询,v
诊所,n
应运而生,i
噪声,n
冷却,v
看中,v
免费,v
沈明观,nh
当上,v
盲人,n
聋哑人,n
老道,n
藏有,v
零散,a
乐谱,n
抄本,n
嘉庆,nt
年间,nt
曲谱,n
上海音乐学院党委,ni
江明惇,nh
西安城隍庙,ns
鼓乐,n
保存,v
唐代,nt
大曲,n
遗迹,n
吹打,v
温州,ns
锣鼓,n
曲目,n
证实,v
民间音乐,n
息息相通,i
好好,d
道观,n
道士,n
俊俏,a
高雅,a
大多,d
耳环,n
纯金,n
圈,n
更换,v
年长,a
爱戴,v
耳,n
日渐,d
随意,v
蚊香,n
夏天,nt
纳凉,v
痱,n
花露水,n
皮肤,n
婴幼儿,j
宁,a
肤,n
毒素,n
蚊,n
叮,v
咬,v
蜂,n
刺,v
搽,v
不痛不痒,i
壳,n
鸡蛋,n
批发价,n
下浮,v
鸭蛋,n
也就是说,c
渡假,v
时节,n
组装,v
调试,v
华雷斯医院,ni
救出,v
婴儿,n
出生,v
驻英,v
叛逃,v
克格勃,ni
头目,n
下令,v
杰弗里·豪,nh
谢瓦尔德纳泽,nh
偷窃,v
便于,v
雇请,v
代为,v
看管,v
留作,v
杯子,n
偷,v
废弃,v
纳入,v
密集型,n
劳动密集型,n
适应,v
联产承包制,n
实惠,n
联络员,n
信息员,n
岗位责任制,n
急事,n
罗巨有,nh
请勿,d
随地,d
吐痰,v
痰,n
迹,n
倒垃圾,v
违者,n
告示牌,n
垃圾,n
残缺不全,i
花坛,n
惨遭,v
无奈,a
赋予,v
宽厚,a
燕赵风,nh
培育,v
豪爽,a
原理,n
随,p
免收,v
购货,v
券,n
即日,nt
动,v
废止,v
不必,d
絮,n
六点一五,m
原棉,n
零售价,n
零二,m
一九五四,m
从无到有,i
占有,v
总的来看,c
花色,n
延搁,v
洗衣机,n
三包,j
留心,v
友人,n
小巧玲珑,i
地球仪,n
略微,d
手上,nl
五大洲,n
大洋,n
历历在目,i
赤道,n
极圈,nl
经纬,n
地名,n
文字,n
清晰可辨,i
底座,n
塞,v
铅笔,n
圆,a
洞口,nl
南北,nd
半球,n
分开,v
清出,v
贮存,v
铅,n
芯,n
木屑,n
昂贵,a
一物,n
多用,v
解囊,v
长宁区新华街道,ns
里弄,n
三百七十四,m
流浪,v
好转,v
倾倒,v
损坏,v
上海石化总厂,ni
丙烯腈,n
催化剂,n
评,v
胡国良,nh
桑钟焙,nh
师,n
不甘,v
罢休,v
弟弟,n
徐荣林,nh
把住,v
待业青年,n
钟海明,nh
喊,v
妹妹,n
男朋友,n
上港三区,ns
星夜,nt
西子湖,ns
丹桂,n
飘香,v
欢歌笑语,i
杭州市工人文化宫,ni
不全,a
所长,n
药物,n
雪花膏,n
一窝蜂,i
民用,a
女童,n
镶,v
色,n
尼龙,n
滑雪,v
衫,n
涤纶,n
两用,a
男童,n
葵花,n
冬令,n
驼绒,n
童,n
大衣,n
提早,v
醋,n
色泽,n
红润,a
姜汁,n
香气,n
味,n
酸,a
鲜,a
甜,a
蟹,n
蘸,v
适用,v
猪排,n
熏鱼,n
常有,v
兴建,v
７１,m
旁边,nd
河道,n
防风,v
３００万,m
奋勇,v
锻炼,v
法律,n
效力,n
物品,n
搬出,v
迁到,v
新浜,ns
连夜,nt
雨,n
抢救,v
当中,nd
老汉,n
王海清,nh
全村,n
各处,nl
闻讯,v
天亮,v
时分,nt
王美英,nh
钱金囡,nh
疲惫,a
身躯,n
大吃一惊,i
屋顶,nl
瓦片,n
掀出,v
窟窿,n
轻重,n
伤员,n
医治,v
倒坍,v
食宿,n
泥泞,a
小路,n
现场办公,v
早日,d
送来,v
哪怕是,c
时辰,n
也好,u
香塘村,ns
鸭,n
朱志清,nh
着地,v
１０３０,m
鸭子,n
存活,v
１万,m
论点,n
惊讶,a
足以,d
啼笑皆非,i
看过,v
潜网,n
恩格斯,nh
现代,nt
性爱,n
互爱,v
分离,v
社会学,n
路德维希·费尔巴哈,nh
古典,a
否定,v
甜密,a
揭露,v
罗网,n
冲,v
脱,v
艰辛,a
历程,n
世间,nl
事物,n
无不,d
衡量,v
一成不变,i
欣赏,v
美学,n
趣味,n
启蒙,v
马路,n
两边,nl
壮美,a
贵,a
相知,v
楼梯,n
转弯,v
闪亮,v
身子,n
轻盈,a
朵,q
白云,n
飘,v
要是,c
交代,n
亮出,v
接头,v
暗号,n
特委,j
寻找,v
无头苍蝇,n
乱闯,v
再说,c
失却,v
理智,n
放肆,a
地步,n
国产化,v
上海外文图书公司,ni
室,n
盈门,v
贸易,v
十一万,m
销到,v
会场,n
客商,n
道上,nl
散置,v
桌椅,n
做生意,v
门庭若市,i
承受,v
高森,nh
交响乐团,n
陈燮阳,nh
杂技团,n
宗政文,nh
上海电视台,ni
时敏,nh
摄影家协会上海分会,ni
杜心,nh
沪东造船厂,ni
青岛远洋运输公司,ni
增产节约,i
增收节支,i
压缩空气,n
泰平海,n
下水,v
剪彩,v
夏粮,n
十一亿,m
早稻,n
油菜籽,n
二十六亿六千万,m
成衣,n
鞋类,n
销售量,n
演习,v
我军,n
指战员,n
熟练,a
素养,n
身经百战,i
将军,n
部委,j
县领导,n
无力,v
选出,v
管委会,j
选民,n
增减,v
调换,v
候选人,n
迟迟,a
区划,n
过小,a
归侨,n
侨眷,n
冤假错案,i
不小,a
尾巴,n
海外关系,n
歧视,v
黄志刚,nh
胡启立,nh
阎达开,nh
张淮三,nh
弱点,n
驻军,v
三结合,j
分解,v
作好,v
扩建,v
竣工,v
唐山铁路工务段,ni
铺轨,v
工地,n
工务段,n
段长,n
亲赴,v
进度,n
进展,v
大蒜,n
干姜,n
香菇,n
红茶,n
日常,a
实用性,n
工艺品,n
成交量,n
普查,v
登记,v
磷肥,n
麦田,n
三百六十四万,m
六十四万,m
十五万二千,m
现货,n
主机,n
追加,v
配件,n
机械厂,n
吃不饱,i
社会调查,v
淡薄,a
端起,v
架子,n
配药,v
示范户,n
带动,v
婚,n
孝敬,v
通情达理,n
疙瘩,n
一经,d
说服,v
登门,v
市场调查,v
大宗,n
小宗,n
诚意,n
信誉,n
高炉,n
煤气,n
发电,v
用好,v
智力,n
高水平,n
资产,n
教学楼,n
固定资产,n
八万,m
大葱,n
爆,v
羊肉,n
葱,n
酥,a
脆,a
绵,a
参半,v
葱姜,n
汁,n
粉,n
烹调,v
名菜,n
横溢,v
配,v
西餐,n
大饱口福,i
恋,v
四面八方,i
慕名,v
取经,v
学艺,v
求教,v
信件,n
接连不断,i
竞技,n
开锣,v
跤手,n
郑奎,nh
登场,v
败于,v
黑龙江,ns
达西扎布,nh
力克,v
贵州,ns
曹刚,nh
何家,nh
少爷,n
欺辱,v
病倒,v
文化厅,n
尽快,d
剧本,n
工作会议,n
事宜,n
１９４７,m
生于,v
早年,nt
师事,v
范昌乾,nh
１９７３,m
任华翰,nh
新加坡南洋美术专科学院,ni
任教,v
体育馆,n
帷幕,n
大卫.考帕菲尔,nh
闻名于世,i
新华,ns
体协,j
冶金局工会,ni
第二冶金机械厂,ni
环达杯,ni
甲,n
乙级,n
定级,v
工人文化宫,n
云南省楚雄彝族民间艺术团,ni
日本冲绳县,ns
石垣,nh
臃肿,a
人浮于事,i
成天,nt
打电话,v
过日子,v
通病,n
新旧,n
前景,n
来源于,v
炎热,a
相遇,v
平常,a
乐于,v
助人,v
降临,v
思念,v
好友,n
思绪,n
床上,nl
辗转反侧,i
爬,v
安然,a
入睡,v
国家南极考察委员会办公室,ni
郭琨,nh
南极,n
秦大河,nh
一等功,n
试生产,v
日夜,nt
订出,v
买卖,n
公平,a
严寒,a
寒流,n
会堂,n
上海市出版工作者协会,ni
出版局,ni
吉少甫,nh
就任,v
首次,n
访华,v
布什,nh
首相,n
梅杰,nh
授权,v
上空,n
科索沃,ns
马其顿,ns
流血,v
萨拉热窝,ns
人道主义,n
空中,nl
得以,vu
难民,n
军用,a
运输机,n
萨格勒布,ns
太湖,ns
望虞河,ns
太浦河,ns
杭嘉湖,ns
排,v
环湖,ns
大堤,n
１９９４,m
开通,v
日出,v
日食,n
月影,n
遮,v
政协全国委员会常务委员会,ni
政协全国委员会,ni
彭友今,nh
人事,n
乔森潘,nh
波黑,ns
交战,v
定于,v
欧共体,j
调解人,n
卡林顿,nh
和谈,v
海军,n
科任,nh
塞瓦斯,ns
托波尔,ns
招待会,n
截然相反,i
否认,v
戊,m
司令部,n
大楼,n
说法,n
西南部,n
圣地亚哥,ns
萨利纳斯,nh
华东电力设计院,ni
能源部,ni
审查,v
有功,v
记载,v
杨振宁,nh
博士,n
米尔斯,nh
又称,v
作怪,v
营业额,n
一九五八,m
五十七万,m
内乱,n
停顿,v
警备区,n
政工干部,n
集训,v
人武,j
上海市计划用电办公室,ni
静安区科技协会,ni
技革馆,ns
少儿,n
开办,v
上海青少年艺术学苑,ni
智力开发,v
涂鸦,v
芬兰,ns
前日,nt
底子,n
弱,a
有限,a
请人,v
通读,v
养好,v
长毛兔,n
拜访,v
有经验,v
兔,n
剪,v
兔毛,n
母,n
配种,v
小兔,n
能手,n
逐年,d
北京体育学院,ni
上海体育学院,ni
考试,v
试行,v
命题,v
统考,v
宇宙科技开发公司,ni
彩色,n
名片,n
离休,v
一整套,mq
成批,n
上海市红十字肿瘤咨询服务中心,ni
义诊,v
款项,n
捐赠,v
肇周路,ns
复兴中路,ns
徐家汇路,ns
１０９,m
２１７,m
３１８,m
班车,n
改道,v
行驶,v
陈莲笙,nh
中期,nt
故世,v
后继无人,i
失传,v
或许,d
有助于,v
唐,nt
激光,n
微弱,a
不良,a
反应,n
副作用,n
通常,d
疗程,n
奏效,v
前身,n
官方,n
联盟,n
墨西哥城,ns
杭州,ns
游览,v
技术引进,v
合众国际社,ni
一九八六,m
一九九○,m
一九七五,m
一百零五,m
北京天安门广场,ns
鸽群,n
翱翔,v
蓝天,n
啄食,v
幸存者,n
近郊,nl
详尽,a
财政部,ni
经营者,n
有权,v
免税,v
酒店,n
林立,v
建于,v
一五八九,m
霍夫布芳恩馆,ni
马台泽,ni
座位,n
慕尼黑工科大学,ni
学院,n
酿酒,v
后半叶,nt
查理曼,nh
大帝,n
统治,v
奥地利,ns
一带,n
帝国,n
边区,n
公国,n
一八六六,m
普奥,ns
战败,v
奥匈帝国,ns
计划经济,n
综合性,n
关键性,n
有待于,v
人才济济,i
活跃,a
注意力,n
多久,nt
贸,v
当头,v
立足于,v
偶然,a
石家庄第六运输公司,ni
司乘人员,n
圈儿,n
聊,v
爱心,n
碰撞,v
漩涡,n
物体,n
国名,n
源于,v
施维茨州,ns
有损于,v
来不及,v
开口子,v
新陆饭店,ni
脚手架,n
岌岌可危,i
倒塌,v
工程队,n
选用,v
马虎,a
单薄,a
险情,n
万一,d
招领,v
依稀可见,i
字样,n
包内,nl
标签,n
查到,v
失主,n
新华街道,ns
居委会,j
容器,n
清运,v
垃圾箱,n
进出,v
拆,v
移,v
址,n
双层,n
蚊蝇,n
孳生,v
清洁,a
环卫工人,n
劳动强度,n
作业,n
机械化,v
密封,v
装运,v
散落,v
垃圾桶,n
三四十,m
基本上,d
保洁,v
陆上,nl
水中,nl
冷水,n
温度,n
温差,n
感受器,n
兴奋,a
寒冷,a
强度,n
人体,n
痛,a
阈,n
值,n
终身制,n
评选,v
揭晓,v
深受,v
再度,d
余下,v
落选,v
评上,v
一百三十一,m
五十八,m
剩下,v
七十三,m
打进,v
规格,n
交货,v
适宜,a
吴剑春,nh
置,v
安危,n
脑后,nl
念念不忘,i
导布辊,n
不锈钢,n
自感,v
找来,v
赵步林,nh
案犯,n
闸北公安分局,ni
归案,v
呼吸道,n
先天,n
畸形,n
小猪,n
生下,v
来函,n
照登,v
谋求,v
出访,v
阻挠,v
高级工程师,n
商善最,nh
出国,v
话梅,n
咽喉,n
肿痛,v
乳,x
蛾,n
喉,n
指挥权,n
列宁,nh
１９１９,m
星期六,nt
众所周知,i
欠账,v
亟需,v
未经,v
体力劳动,n
艰苦创业,i
松江县,ns
上海气象局,ni
唐新章,nh
报社,n
奉,v
贤,a
青浦四县,ns
下游,n
低气压,n
冷空气,n
迫使,v
暖湿,a
猛烈,a
抬升,v
雷雨,n
砖瓦,n
水泥,n
压死,v
筹划,v
破产,v
养殖,v
重振,v
家业,n
其后,nt
曹久利,nh
王鹏杰,nh
追,v
李英方,nh
得分手,n
打乱,v
内调,v
打的,v
套路,n
白秀存,nh
游,v
近朱者赤,i
熏陶,v
正规,a
编排,v
稳定性,n
广播,v
弗鲁利,ns
苦果,n
渺茫,a
渐渐,d
回天,v
无术,v
只得,vu
